run,arm,recipe,budget,d,params_M,bits_per_audio_s,bits_per_text_tok,nll_semantic,nll_ac1,nll_ac7,asr_0s_wer,asr_2s_wer,sblimp,sblimp_sem,tblimp,swuggy,swuggy_sem,twuggy,salmon,salmon_sem,ssc,ssc_sem,tsc,tsc_sem,bb_nll_asr_whole,bb_nll_asr_text,bb_nll_tts_1cb,bb_nll_tts_8cb,tts_wer,tts_sim,tts_n_wavs
p1-flat,flat,uniform,3e+18,768,298,562.58,1.933,2.696,3.579,4.413,37.09,35.58,0.4975,0.5041,0.6197,0.556,0.6178,0.635,0.6856,0.6325,0.5061,0.5099,0.5879,0.613,3.848,1.404,1.529,3.757,31.181,0.3321,830
p1-hier,hier,moshi,3e+18,768,308,658.15,1.111,2.492,4.566,4.938,19.43,18.11,0.5021,0.5043,0.6441,0.5787,0.6414,0.6734,0.6669,0.6506,0.5158,0.5045,0.613,0.6173,4.497,0.867,1.415,4.366,29.557,0.2296,1088
p1b-hier,hier,uniform,3e+18,768,308,631.77,1.341,2.547,4.396,4.709,22.46,20.16,0.4992,0.4996,0.6465,0.5708,0.6276,0.6453,0.6887,0.65,0.5195,0.5013,0.6221,0.6093,4.308,0.983,1.405,4.141,17.762,0.3298,1088
p1c-flat,flat,moshi,3e+18,768,298,653.41,1.618,2.648,3.895,5.396,28.48,26.66,0.4955,0.5049,0.6462,0.5627,0.6321,0.6439,0.6856,0.655,0.4992,0.5019,0.5644,0.6141,4.464,1.206,1.518,4.437,66.669,0.2229,382
p2-flat-d512,flat,uniform,3e+18,512,173,567.74,2.207,2.767,3.592,4.45,46.85,49.65,0.4968,0.5006,0.6254,0.5491,0.6145,0.6309,0.685,0.6288,0.5077,0.5195,0.5762,0.5735,3.889,1.597,1.591,3.81,48.098,0.3182,1088
p2-hier-d512,hier,moshi,3e+18,512,178,668.07,1.272,2.543,4.638,5.028,24.19,23.81,0.5027,0.5042,0.6416,0.5697,0.6368,0.6525,0.6587,0.6469,0.5168,0.511,0.6189,0.6269,4.567,0.924,1.436,4.439,32.227,0.1965,1088
p2-flat-d896,flat,uniform,3e+18,896,375,562.19,1.865,2.684,3.574,4.408,32.18,31.13,0.4958,0.5009,0.6237,0.5578,0.6209,0.621,0.6894,0.6394,0.5115,0.5045,0.5869,0.6088,3.846,1.402,1.575,3.774,39.705,0.3219,311
p2-hier-d896,hier,moshi,3e+18,896,389,657.17,1.163,2.485,4.551,4.933,16.15,15.14,0.5025,0.5081,0.6471,0.5766,0.6423,0.6553,0.6725,0.6488,0.5206,0.5115,0.6216,0.6269,4.497,0.881,1.409,4.36,29.981,0.2341,1088
p3-small,hier,moshi,3e+18,768,297,673.12,1.165,2.485,4.614,5.142,21.76,16.32,0.5024,0.5051,0.6556,0.5822,0.647,0.6655,0.6637,0.6488,0.5297,0.512,0.6189,0.6136,4.601,0.875,1.41,4.475,40.991,0.2174,1088
p3-large,hier,moshi,3e+18,768,328,656.75,1.246,2.527,4.567,4.899,19.53,19.16,0.5029,0.5069,0.6387,0.5765,0.6442,0.6492,0.6675,0.6494,0.5249,0.5067,0.6056,0.6162,4.492,0.957,1.427,4.357,28.948,0.2273,1088
p4-flat,flat,uniform,1e+18,768,298,586.51,2.642,2.792,3.658,4.666,43.28,41.79,0.4942,0.4965,0.6129,0.5487,0.6115,0.6152,0.6863,0.635,0.5061,0.512,0.5692,0.5858,4.031,1.927,1.669,3.953,47.529,0.3012,690
p4-hier,hier,moshi,1e+18,768,308,674.54,1.309,2.595,4.667,5.092,20.91,19.26,0.5045,0.5021,0.6394,0.5724,0.6321,0.6477,0.6613,0.6412,0.5286,0.5061,0.6136,0.6205,4.617,0.998,1.466,4.49,46.578,0.1937,1088
p5-decay,hier,decay,3e+18,768,308,650.41,1.161,2.485,4.386,5.059,18.88,18.28,0.4987,0.5045,0.6581,0.5774,0.6382,0.6578,0.6787,0.665,0.5115,0.4939,0.6312,0.6211,,,,,23.103,0.29,1088
soda-hier-1b,hier,decay,1.17e+20,1536,1111,603.47,0.7379,2.166,4.091,4.576,7.67,7.21,0.5181,0.5256,0.7022,0.6042,0.6709,0.706,0.6919,0.6813,0.5056,0.5024,0.6392,0.6456,,,,,17.168,0.362,1088
